,nb_purchase,total_buy,cluster
254,1.0,1925.77,1
255,1.0,1924.03,1
256,0.0,1916.96,1
257,1.0,1916.08,1
258,1.0,1915.53,1
259,1.0,1915.13,1
260,1.0,1906.68,1
261,1.0,1902.55,1
262,0.0,1901.62,1
263,1.0,1898.6100000000001,1
264,1.0,1898.27,1
265,0.0,1894.41,1
266,1.0,1891.63,1
267,0.0,1878.39,1
268,0.0,1877.84,1
269,1.0,1872.26,1
270,1.0,1871.64,1
271,1.0,1869.8,1
272,1.0,1867.85,1
273,0.0,1866.7,1
274,1.0,1861.26,1
275,1.0,1859.1,1
276,1.0,1853.75,1
277,1.0,1843.85,1
278,1.0,1841.75,1
279,1.0,1841.11,1
280,1.0,1839.05,1
281,0.0,1837.16,1
282,1.0,1832.54,1
283,1.0,1830.99,1
284,1.0,1830.9,1
285,0.0,1830.12,1
286,1.0,1828.41,1
287,1.0,1827.72,1
288,0.0,1826.34,1
289,0.0,1826.07,1
290,1.0,1821.87,1
291,1.0,1821.82,1
292,0.0,1818.23,1
293,1.0,1817.54,1
294,1.0,1816.11,1
295,1.0,1814.29,1
296,0.0,1812.33,1
297,0.0,1812.19,1
298,0.0,1810.5,1
299,0.0,1806.68,1
300,1.0,1804.05,1
301,1.0,1803.24,1
302,0.0,1798.01,1
303,1.0,1797.73,1
304,0.0,1793.23,1
305,1.0,1789.02,1
306,0.0,1787.72,1
307,1.0,1784.2,1
308,0.0,1783.7,1
309,1.0,1783.44,1
310,2.0,1782.9,1
311,0.0,1782.55,1
312,1.0,1778.01,1
313,0.0,1775.26,1
314,0.0,1770.72,1
315,1.0,1768.4,1
316,0.0,1767.1,1
317,0.0,1761.64,1
318,3.0,1760.7499999999998,1
319,1.0,1759.26,1
320,1.0,1759.04,1
321,0.0,1757.41,1
322,4.0,1756.53,1
323,1.0,1756.1,1
324,0.0,1755.35,1
325,0.0,1755.21,1
326,0.0,1740.39,1
327,0.0,1740.21,1
328,1.0,1738.17,1
329,0.0,1737.88,1
330,1.0,1736.3,1
331,1.0,1733.7,1
332,0.0,1733.34,1
333,1.0,1730.87,1
334,1.0,1730.87,1
335,0.0,1730.04,1
336,1.0,1729.98,1
337,1.0,1728.81,1
338,1.0,1727.67,1
339,1.0,1725.64,1
340,1.0,1724.04,1
341,0.0,1719.92,1
342,1.0,1714.21,1
343,0.0,1714.02,1
344,1.0,1711.63,1
345,0.0,1710.18,1
346,2.0,1703.38,1
347,1.0,1702.35,1
348,0.0,1698.56,1
349,0.0,1697.45,1
350,1.0,1693.31,1
351,0.0,1692.59,1
352,1.0,1692.05,1
353,0.0,1690.95,1
354,1.0,1683.14,1
355,0.0,1682.92,1
356,1.0,1680.25,1
357,0.0,1679.63,1
358,0.0,1677.31,1
359,1.0,1675.71,1
360,0.0,1675.68,1
361,0.0,1672.67,1
362,1.0,1672.08,1
363,1.0,1672.06,1
364,1.0,1668.74,1
365,1.0,1662.02,1
366,0.0,1659.84,1
367,1.0,1658.81,1
368,0.0,1658.7,1
369,0.0,1657.57,1
370,0.0,1657.11,1
371,1.0,1655.6,1
372,1.0,1654.46,1
373,2.0,1653.98,1
374,0.0,1653.6,1
375,0.0,1653.6,1
376,0.0,1653.6,1
377,0.0,1653.6,1
378,0.0,1650.56,1
379,0.0,1648.64,1
380,1.0,1645.82,1
381,1.0,1644.76,1
382,0.0,1644.57,1
383,0.0,1644.36,1
384,0.0,1643.64,1
385,0.0,1643.64,1
386,0.0,1643.04,1
387,1.0,1642.54,1
388,0.0,1642.11,1
389,0.0,1641.51,1
390,0.0,1640.6,1
391,1.0,1638.72,1
392,1.0,1638.35,1
393,0.0,1635.64,1
394,0.0,1635.64,1
395,0.0,1635.64,1
396,1.0,1635.54,1
397,1.0,1635.51,1
398,0.0,1631.94,1
399,0.0,1629.33,1
400,1.0,1628.6,1
401,1.0,1628.6,1
402,1.0,1628.07,1
403,0.0,1627.84,1
404,0.0,1626.83,1
405,1.0,1626.65,1
406,0.0,1625.94,1
407,0.0,1623.94,1
408,0.0,1620.77,1
409,0.0,1620.77,1
410,1.0,1619.73,1
411,0.0,1617.84,1
412,0.0,1605.14,1
413,0.0,1605.14,1
414,0.0,1603.25,1
415,1.0,1603.08,1
416,1.0,1600.51,1
417,0.0,1591.24,1
418,3.0,1590.76,1
419,0.0,1590.25,1
420,1.0,1589.57,1
421,2.0,1588.9499999999998,1
422,1.0,1586.47,1
423,1.0,1584.96,1
424,0.0,1583.71,1
425,0.0,1575.05,1
426,1.0,1570.79,1
427,2.0,1570.4,1
428,1.0,1570.21,1
429,1.0,1568.72,1
430,0.0,1564.07,1
431,1.0,1562.57,1
432,1.0,1556.7,1
433,1.0,1556.67,1
434,1.0,1555.23,1
435,1.0,1550.68,1
436,1.0,1549.41,1
437,0.0,1544.8200000000002,1
438,2.0,1544.7599999999998,1
439,1.0,1544.62,1
440,1.0,1543.25,1
441,0.0,1541.7,1
442,0.0,1537.04,1
443,0.0,1535.22,1
444,0.0,1534.98,1
445,0.0,1534.58,1
446,1.0,1533.62,1
447,0.0,1530.5,1
448,2.0,1529.2600000000002,1
449,0.0,1528.99,1
450,0.0,1528.99,1
451,1.0,1528.03,1
452,1.0,1528.03,1
453,1.0,1527.51,1
454,0.0,1526.26,1
455,1.0,1525.78,1
456,0.0,1524.24,1
457,1.0,1522.99,1
458,1.0,1521.75,1
459,0.0,1520.77,1
460,0.0,1520.77,1
461,1.0,1520.71,1
462,1.0,1518.55,1
463,0.0,1517.7,1
464,1.0,1511.86,1
465,2.0,1510.38,1
466,0.0,1507.56,1
467,0.0,1506.68,1
468,1.0,1506.05,1
469,0.0,1504.61,1
470,1.0,1501.45,1
471,1.0,1500.19,1
472,1.0,1499.87,1
473,1.0,1498.46,1
474,0.0,1493.45,1
475,1.0,1490.53,1
476,0.0,1489.47,1
477,1.0,1488.59,1
478,0.0,1488.14,1
479,0.0,1485.31,1
480,1.0,1483.26,1
481,0.0,1482.42,1
482,1.0,1482.24,1
483,0.0,1481.03,1
484,1.0,1480.73,1
485,0.0,1479.51,1
486,0.0,1479.51,1
487,0.0,1479.51,1
488,0.0,1479.51,1
489,0.0,1479.51,1
490,0.0,1479.51,1
491,0.0,1479.51,1
492,1.0,1478.95,1
493,1.0,1478.48,1
494,1.0,1478.45,1
495,2.0,1478.1999999999998,1
496,0.0,1476.8,1
497,1.0,1476.07,1
498,1.0,1475.08,1
499,1.0,1474.76,1
500,0.0,1474.42,1
501,1.0,1472.47,1
502,0.0,1471.51,1
503,0.0,1471.51,1
504,0.0,1471.51,1
505,0.0,1471.51,1
506,0.0,1471.51,1
507,1.0,1468.45,1
508,0.0,1467.87,1
509,0.0,1463.37,1
510,1.0,1462.65,1
511,1.0,1458.51,1
512,1.0,1453.3,1
513,3.0,1451.0,1
514,2.0,1447.02,1
515,0.0,1444.62,1
516,0.0,1442.84,1
517,1.0,1442.79,1
518,0.0,1442.15,1
519,1.0,1441.6200000000001,1
520,0.0,1440.1,1
521,1.0,1439.27,1
522,0.0,1438.23,1
523,1.0,1437.64,1
524,0.0,1437.15,1
525,1.0,1437.1,1
526,1.0,1436.84,1
527,1.0,1436.46,1
528,0.0,1435.58,1
529,1.0,1433.04,1
530,1.0,1432.92,1
531,0.0,1432.21,1
532,1.0,1431.63,1
533,1.0,1431.33,1
534,1.0,1430.91,1
535,1.0,1429.59,1
536,1.0,1427.58,1
537,0.0,1427.25,1
538,0.0,1427.04,1
539,0.0,1426.81,1
540,1.0,1426.58,1
541,0.0,1426.57,1
542,0.0,1425.56,1
543,0.0,1424.45,1
544,0.0,1424.0,1
545,0.0,1423.55,1
546,1.0,1423.54,1
547,1.0,1423.52,1
548,1.0,1423.21,1
549,0.0,1422.05,1
550,0.0,1421.69,1
551,1.0,1418.86,1
552,1.0,1416.95,1
553,0.0,1416.7,1
554,1.0,1416.41,1
555,0.0,1415.8,1
556,1.0,1415.66,1
557,1.0,1415.66,1
558,1.0,1414.7,1
559,0.0,1411.62,1
560,0.0,1411.13,1
561,0.0,1409.12,1
562,0.0,1404.41,1
563,1.0,1404.24,1
564,0.0,1401.85,1
565,0.0,1400.74,1
566,0.0,1400.33,1
567,0.0,1398.18,1
568,1.0,1394.77,1
569,1.0,1392.37,1
570,0.0,1391.89,1
571,0.0,1391.79,1
572,1.0,1391.39,1
573,1.0,1391.35,1
574,1.0,1391.35,1
575,1.0,1391.28,1
576,1.0,1391.13,1
577,1.0,1391.13,1
578,1.0,1388.98,1
579,1.0,1388.68,1
580,1.0,1388.43,1
581,1.0,1388.3,1
582,0.0,1384.74,1
583,0.0,1384.73,1
584,0.0,1381.87,1
585,0.0,1381.83,1
586,2.0,1381.41,1
587,0.0,1378.79,1
588,1.0,1377.99,1
589,0.0,1373.83,1
590,0.0,1373.83,1
591,0.0,1373.83,1
592,0.0,1373.19,1
593,0.0,1372.25,1
594,1.0,1372.22,1
595,1.0,1372.1,1
596,1.0,1371.88,1
597,1.0,1370.41,1
598,0.0,1370.26,1
599,1.0,1369.63,1
600,1.0,1368.87,1
601,1.0,1368.11,1
602,1.0,1367.75,1
603,0.0,1367.5,1
604,0.0,1367.23,1
605,1.0,1362.37,1
606,1.0,1359.47,1
607,0.0,1359.4,1
608,0.0,1358.75,1
609,0.0,1356.8,1
610,0.0,1355.73,1
611,0.0,1354.8,1
612,0.0,1354.09,1
613,1.0,1354.06,1
614,1.0,1353.28,1
615,0.0,1351.94,1
616,0.0,1351.51,1
617,0.0,1351.51,1
618,0.0,1351.51,1
619,1.0,1351.44,1
620,0.0,1351.41,1
621,0.0,1351.41,1
622,0.0,1351.03,1
623,0.0,1350.5,1
624,1.0,1349.16,1
625,1.0,1349.05,1
626,1.0,1348.66,1
627,0.0,1347.96,1
628,0.0,1344.82,1
629,0.0,1344.46,1
630,0.0,1344.36,1
631,1.0,1343.44,1
632,1.0,1342.63,1
633,1.0,1342.63,1
634,1.0,1342.03,1
635,0.0,1341.55,1
636,0.0,1341.45,1
637,1.0,1341.26,1
638,0.0,1338.51,1
639,0.0,1338.51,1
640,0.0,1338.51,1
641,0.0,1338.51,1
642,0.0,1338.41,1
643,0.0,1338.41,1
644,0.0,1338.41,1
645,0.0,1338.41,1
646,0.0,1337.19,1
647,0.0,1334.28,1
648,1.0,1334.03,1
649,0.0,1333.55,1
650,1.0,1333.25,1
651,0.0,1333.25,1
652,1.0,1330.88,1
653,1.0,1330.2,1
654,0.0,1328.59,1
655,0.0,1328.08,1
656,1.0,1327.72,1
657,0.0,1327.54,1
658,1.0,1326.85,1
659,1.0,1326.85,1
660,0.0,1326.79,1
661,0.0,1325.44,1
662,1.0,1325.44,1
663,0.0,1325.32,1
664,0.0,1323.79,1
665,0.0,1323.3,1
666,1.0,1322.97,1
667,1.0,1322.97,1
668,1.0,1322.69,1
669,2.0,1321.63,1
670,1.0,1321.0,1
671,1.0,1319.32,1
672,1.0,1318.06,1
673,0.0,1317.9,1
674,0.0,1317.36,1
675,1.0,1317.04,1
676,1.0,1316.14,1
677,0.0,1315.9,1
678,0.0,1314.99,1
679,1.0,1314.95,1
680,1.0,1314.86,1
681,1.0,1312.67,1
682,1.0,1312.67,1
683,1.0,1311.46,1
684,1.0,1310.95,1
685,1.0,1310.95,1
686,1.0,1310.23,1
687,1.0,1308.18,1
688,1.0,1306.26,1
689,1.0,1305.51,1
690,0.0,1304.3600000000001,1
691,0.0,1304.02,1
692,1.0,1303.5,1
693,1.0,1302.42,1
694,1.0,1301.01,1
695,0.0,1300.57,1
696,0.0,1300.57,1
697,0.0,1299.28,1
698,0.0,1298.1,1
699,0.0,1297.47,1
700,1.0,1294.6000000000001,1
701,1.0,1294.26,1
702,0.0,1294.09,1
703,0.0,1293.27,1
704,1.0,1293.26,1
705,1.0,1291.39,1
706,1.0,1291.39,1
707,3.0,1290.88,1
708,0.0,1290.79,1
709,1.0,1290.32,1
710,1.0,1289.5,1
711,0.0,1289.0,1
712,1.0,1288.74,1
713,1.0,1284.78,1
714,0.0,1284.25,1
715,0.0,1284.25,1
716,1.0,1281.12,1
717,1.0,1281.12,1
718,0.0,1279.1,1
719,2.0,1276.52,1
720,1.0,1275.77,1
721,1.0,1275.39,1
722,0.0,1274.51,1
723,2.0,1274.03,1
724,0.0,1273.16,1
725,1.0,1272.76,1
726,1.0,1272.67,1
727,0.0,1272.51,1
728,1.0,1270.7,1
729,1.0,1269.5,1
730,1.0,1267.2,1
731,0.0,1266.94,1
732,0.0,1265.83,1
733,1.0,1264.17,1
734,0.0,1260.76,1
735,0.0,1260.76,1
736,1.0,1260.65,1
737,1.0,1259.04,1
738,1.0,1258.73,1
739,1.0,1258.23,1
740,0.0,1257.96,1
741,1.0,1257.96,1
742,1.0,1255.71,1
743,1.0,1255.43,1
744,3.0,1254.01,1
745,0.0,1253.86,1
746,1.0,1253.03,1
747,0.0,1252.81,1
748,0.0,1251.7,1
749,1.0,1251.44,1
750,1.0,1251.02,1
751,0.0,1250.81,1
752,0.0,1250.81,1
753,0.0,1250.81,1
754,0.0,1250.81,1
755,0.0,1250.81,1
756,0.0,1250.42,1
757,0.0,1249.8700000000001,1
758,1.0,1247.96,1
759,0.0,1247.36,1
760,0.0,1247.29,1
761,0.0,1247.1299999999999,1
762,1.0,1246.97,1
763,1.0,1246.9,1
764,0.0,1246.42,1
765,0.0,1246.34,1
766,1.0,1245.09,1
767,1.0,1244.74,1
768,1.0,1244.12,1
769,0.0,1243.66,1
770,1.0,1243.62,1
771,0.0,1242.57,1
772,1.0,1242.54,1
773,0.0,1241.19,1
774,0.0,1240.85,1
775,0.0,1240.85,1
776,0.0,1240.85,1
777,0.0,1240.85,1
778,0.0,1239.94,1
779,0.0,1237.81,1
780,0.0,1237.81,1
781,0.0,1237.39,1
782,0.0,1236.76,1
783,0.0,1234.62,1
784,0.0,1234.62,1
785,0.0,1234.62,1
786,1.0,1234.15,1
787,0.0,1233.42,1
788,0.0,1232.85,1
789,0.0,1232.85,1
790,0.0,1232.85,1
791,0.0,1232.85,1
792,1.0,1231.52,1
793,0.0,1231.29,1
794,0.0,1230.2,1
795,1.0,1230.0,1
796,0.0,1229.4299999999998,1
797,0.0,1229.19,1
798,0.0,1228.73,1
799,1.0,1228.03,1
800,0.0,1227.98,1
801,0.0,1227.89,1
802,0.0,1227.78,1
803,0.0,1226.84,1
804,1.0,1226.18,1
805,1.0,1225.99,1
806,0.0,1225.59,1
807,0.0,1225.59,1
808,2.0,1225.08,1
809,0.0,1224.87,1
810,0.0,1224.1,1
811,0.0,1224.06,1
812,0.0,1224.04,1
813,0.0,1223.7,1
814,1.0,1223.6,1
815,0.0,1223.06,1
816,0.0,1223.06,1
817,0.0,1222.94,1
818,1.0,1222.8,1
819,1.0,1222.46,1
820,1.0,1222.15,1
821,0.0,1221.52,1
822,1.0,1221.39,1
823,1.0,1221.39,1
824,1.0,1221.39,1
825,1.0,1221.28,1
826,0.0,1220.73,1
827,0.0,1220.72,1
828,0.0,1220.64,1
829,0.0,1220.0,1
830,2.0,1219.32,1
831,0.0,1218.6999999999998,1
832,1.0,1218.34,1
833,0.0,1217.78,1
834,1.0,1215.42,1
835,2.0,1215.15,1
836,2.0,1214.78,1
837,1.0,1214.65,1
838,0.0,1214.06,1
839,1.0,1210.62,1
840,1.0,1206.34,1
841,1.0,1205.79,1
842,0.0,1205.0,1
843,0.0,1203.8899999999999,1
844,1.0,1203.68,1
845,1.0,1201.55,1
846,0.0,1199.47,1
847,1.0,1198.89,1
848,0.0,1196.78,1
849,0.0,1195.23,1
850,0.0,1194.38,1
851,0.0,1192.48,1
852,0.0,1192.04,1
853,1.0,1191.5,1
854,1.0,1191.48,1
855,2.0,1189.3400000000001,1
856,1.0,1186.58,1
857,0.0,1185.58,1
858,0.0,1184.55,1
859,0.0,1184.24,1
860,0.0,1183.46,1
861,1.0,1183.3600000000001,1
862,0.0,1182.31,1
863,0.0,1181.11,1
864,1.0,1180.51,1
865,0.0,1176.6399999999999,1
866,1.0,1175.58,1
867,1.0,1175.58,1
868,1.0,1173.84,1
869,1.0,1173.84,1
870,0.0,1173.71,1
871,1.0,1173.56,1
872,0.0,1173.44,1
873,1.0,1173.11,1
874,5.0,1172.66,1
875,0.0,1172.45,1
876,0.0,1172.45,1
877,1.0,1172.45,1
878,0.0,1172.26,1
879,2.0,1170.78,1
880,1.0,1168.71,1
881,1.0,1168.71,1
882,2.0,1168.66,1
883,0.0,1167.04,1
884,1.0,1166.44,1
885,0.0,1166.43,1
886,1.0,1165.99,1
887,1.0,1164.62,1
888,1.0,1163.25,1
889,1.0,1162.88,1
890,0.0,1161.47,1
891,0.0,1161.47,1
892,1.0,1161.18,1
893,1.0,1160.77,1
894,1.0,1159.65,1
895,1.0,1158.99,1
896,1.0,1158.54,1
897,1.0,1157.66,1
898,1.0,1157.41,1
899,1.0,1157.28,1
900,1.0,1157.19,1
901,0.0,1155.56,1
902,1.0,1153.09,1
903,1.0,1152.62,1
904,1.0,1150.8,1
905,0.0,1150.54,1
906,0.0,1150.11,1
907,1.0,1149.83,1
908,1.0,1149.83,1
909,0.0,1148.88,1
910,0.0,1148.75,1
911,1.0,1147.97,1
912,1.0,1147.55,1
913,0.0,1147.5,1
914,2.0,1147.36,1
915,0.0,1146.2,1
916,1.0,1143.22,1
917,1.0,1140.82,1
918,1.0,1140.82,1
919,1.0,1140.58,1
920,1.0,1140.23,1
921,0.0,1140.15,1
922,0.0,1140.12,1
923,1.0,1139.27,1
924,1.0,1139.17,1
925,1.0,1138.39,1
926,1.0,1138.28,1
927,1.0,1137.56,1
928,0.0,1137.11,1
929,0.0,1137.11,1
930,0.0,1137.11,1
931,0.0,1135.89,1
932,1.0,1134.44,1
933,0.0,1133.96,1
934,1.0,1133.62,1
935,0.0,1132.63,1
936,1.0,1131.73,1
937,0.0,1131.08,1
938,1.0,1130.03,1
939,1.0,1129.91,1
940,1.0,1129.85,1
941,0.0,1129.57,1
942,1.0,1129.41,1
943,1.0,1127.5,1
944,1.0,1127.29,1
945,1.0,1126.64,1
946,1.0,1125.9,1
947,1.0,1125.58,1
948,0.0,1125.58,1
949,1.0,1125.57,1
950,0.0,1125.55,1
951,0.0,1125.55,1
952,1.0,1125.36,1
953,1.0,1125.0,1
954,0.0,1124.96,1
955,1.0,1124.87,1
956,1.0,1124.79,1
957,1.0,1123.86,1
958,0.0,1123.13,1
959,0.0,1122.86,1
960,6.0,1122.72,1
961,0.0,1122.45,1
962,0.0,1121.44,1
963,1.0,1121.42,1
964,0.0,1121.01,1
965,1.0,1120.84,1
966,0.0,1120.37,1
967,1.0,1119.9,1
968,1.0,1119.77,1
969,1.0,1119.6,1
970,1.0,1118.05,1
971,1.0,1118.05,1
972,1.0,1118.05,1
973,1.0,1118.05,1
974,1.0,1117.99,1
975,0.0,1116.81,1
976,0.0,1116.69,1
977,0.0,1115.48,1
978,1.0,1115.45,1
979,1.0,1115.37,1
980,2.0,1114.18,1
981,1.0,1114.03,1
982,1.0,1111.61,1
983,1.0,1110.59,1
984,1.0,1110.2,1
985,1.0,1109.3,1
986,1.0,1107.96,1
987,1.0,1104.93,1
988,0.0,1101.83,1
989,1.0,1101.6,1
990,0.0,1101.51,1
991,0.0,1101.51,1
992,0.0,1101.51,1
993,0.0,1099.0,1
994,0.0,1098.62,1
995,2.0,1098.34,1
996,0.0,1097.94,1
997,1.0,1097.7,1
998,0.0,1097.31,1
999,0.0,1097.17,1
1000,1.0,1096.98,1
1001,1.0,1096.41,1
1002,0.0,1095.65,1
1003,1.0,1094.6299999999999,1
1004,0.0,1094.37,1
1005,1.0,1093.93,1
1006,1.0,1093.52,1
1007,1.0,1092.74,1
1008,0.0,1090.68,1
1009,0.0,1090.68,1
1010,1.0,1089.96,1
1011,1.0,1089.96,1
1012,0.0,1087.44,1
1013,0.0,1086.08,1
1014,0.0,1085.3,1
1015,0.0,1084.71,1
1016,0.0,1084.71,1
1017,0.0,1084.71,1
1018,0.0,1083.96,1
1019,1.0,1083.78,1
1020,1.0,1083.2,1
1021,0.0,1082.66,1
1022,0.0,1082.66,1
1023,0.0,1082.51,1
1024,0.0,1080.56,1
1025,1.0,1079.98,1
1026,1.0,1079.75,1
1027,0.0,1079.71,1
1028,1.0,1078.92,1
1029,0.0,1078.43,1
1030,1.0,1078.16,1
1031,0.0,1077.41,1
1032,1.0,1076.76,1
1033,0.0,1076.45,1
1034,1.0,1075.83,1
1035,1.0,1075.74,1
1036,1.0,1075.23,1
1037,1.0,1075.12,1
1038,0.0,1072.59,1
1039,0.0,1072.59,1
1040,0.0,1072.41,1
1041,1.0,1071.12,1
1042,0.0,1071.1,1
1043,1.0,1070.74,1
1044,1.0,1070.68,1
1045,0.0,1069.77,1
1046,0.0,1069.41,1
1047,1.0,1069.22,1
1048,0.0,1069.04,1
1049,0.0,1068.5,1
1050,0.0,1066.86,1
1051,1.0,1066.08,1
1052,1.0,1063.75,1
1053,1.0,1063.09,1
1054,1.0,1061.76,1
1055,0.0,1061.56,1
1056,0.0,1061.52,1
1057,1.0,1059.25,1
1058,0.0,1058.78,1
1059,0.0,1058.1,1
1060,1.0,1057.88,1
1061,1.0,1057.4,1
